GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
284680       1  162343015  162348017     48      24  146622       1.2298      0.10938
400793       1  162347696  162357108     51      16  147991       1.7206      0.04266
117157       1  162364556  162382928    102      23  147038     -0.20961      0.58301
127933       1  162465964  162499919    138      18  149141     -0.82972      0.79665
6675         1  162530296  162570879    164      46  143503    -0.020911      0.50834
4921         1  162601228  162756909    735      74  146327      -1.1069      0.86582
51478        1  162759496  162783108     83      32  146078     0.037305      0.48512
339512       1  162820266  162839605    151      31  148139      -1.3869      0.91726
5999         1  163037396  163047092     38      20  140359     -0.74523      0.77193
8490         1  163111589  163292581   1083      76  148478      -1.5486      0.93926
83540        1  163290723  163326053    207      31  148064     -0.77343      0.78037
5087         1  164527597  164821567   1434     215  145120     0.043133       0.4828
4009         1  165170604  165326952    883      96  144902      0.22302      0.41176
6258         1  165369659  165415592    277      39  149623      0.35364       0.3618
440699       1  165512478  165533685    154      36  147726     -0.90994      0.81857
4259         1  165599110  165625873    206      40  146367      0.92428      0.17767
223          1  165630949  165668900    250      44  145221     -0.45298      0.67472
54499        1  165693028  165739159    202      53  143963      0.46292      0.32171
7371         1  165795732  165881355    437      84  140212        2.557    0.0052792
149297       1  166026163  166136992    602      69  141625   0.00014698      0.49994
57645        1  166807681  166824209     62      26  144033      0.35059      0.36295
117143       1  166825247  166846654    129      25  148003     0.054309      0.47834
387597       1  166881941  166945576    206      52  148920     -0.72236      0.76496
84944        1  166957394  166991951    145      37  146631      -1.1594      0.87684
10223        1  167021582  167060868    195      49  147124      0.97194      0.16554
92235        1  167062314  167098902    224      43  146572       1.5642     0.058883
5451         1  167189066  167397082    938      66  141772      0.83391      0.20217
919          1  167399377  167488847    523     118  147134    -0.089513      0.53566
8804         1  167509750  167524056     75      20  149231     -0.85786      0.80451
92241        1  167598474  167678433    524     103  146654     -0.64232      0.73967
9019         1  167690187  167761656    360      61  146701      0.17912      0.42892
55811        1  167777857  167884608    645      93  147897      0.65763      0.25539
25874        1  167885413  167907307     84      29  141265      -1.4172      0.92178
55827        1  167904797  168045581    627      65  138594    -0.025546      0.51019
23432        1  168048280  168107905    267      38  139914      0.32264      0.37348
261726       1  168147171  168171852    128      26  145428      0.92867      0.17653
375035       1  168194255  168212588     89      34  137504       2.0032     0.022576
9095         1  168249278  168284164    184      51  145388       1.6034     0.054427
6846         1  168509503  168514235     28      12  144845    -0.076219      0.53038
6375         1  168544711  168551815     50      21  140425     -0.38391      0.64948
1805         1  168664195  168699442    263      43  145569       1.4638     0.071622
101928596    1  169072226  169074645     24       8  147860    -0.079951      0.53186
481          1  169074947  169102460    183      46  145509      0.93725      0.17432
29922        1  169100758  169338186   1438      57  144074       1.3242      0.09272
8548         1  169336122  169366282    156      35  145121       1.6046     0.054296
57821        1  169363608  169430907    356      45  141576       1.9693     0.024461
10560        1  169432647  169456208     90      39  138051       1.5069     0.065913
2153         1  169480692  169556769    583      54  143886       1.3491      0.08865
6403         1  169557587  169600377    263      66  143223     -0.35996      0.64056
6402         1  169659306  169681843    147      30  146479     -0.40601      0.65763
6401         1  169691281  169704220     89      17  149990     -0.35356      0.63817
92342        1  169761170  169765088     25      11  137767      0.02384      0.49049
55732        1  169762224  169822729    348      34  146912      0.60215      0.27354
57147        1  169821715  169864100    264      30  146557      0.34142      0.36639
22920        1  169889961  170044882    831      43  145650     -0.31342      0.62302
149281       1  170114188  170137423    103      27  151244      0.46174      0.32213
92344        1  170500263  170523474     84      37  143518       0.1647      0.43459
5396         1  170632313  170709041    295      61  140700      0.21686      0.41416
80133        1  170903612  171034406    742      67  147281      0.72796      0.23332
2328         1  171059018  171087461    162      30  148168       1.5992     0.054892
2327         1  171153388  171182322    219      28  149446     -0.65476      0.74369
2326         1  171216610  171255613    228      59  143193      0.28281      0.38866
2329         1  171282318  171311723    124      36  137002      0.82864      0.20366
23215        1  171453652  171563150    494      51  145070       2.3255     0.010022
4653         1  171604057  171622773    121      26  144854        1.564     0.058909
8674         1  171668796  171712379    173      30  145756      0.57851      0.28146
51603        1  171749761  171767356     98      17  144586      0.70591      0.24012
26052        1  171809618  172388106   2595     154  144574       2.6026    0.0046255
92346        1  172388828  172438469    258      42  142496       2.9722    0.0014782
5279         1  172410097  172414230     18      10  137119       2.9758    0.0014611
51430        1  172500494  172581473    290      49  141544      0.27708      0.39086
356          1  172627185  172636513     33      18  139174      0.58901      0.27793
8995         1  173009860  173021103     49      15  147415      0.27131      0.39308
7292         1  173152370  173177471    119      33  146332   -0.0088021      0.50351
9588         1  173445486  173458446     65      11  125545      0.40271      0.34358
284525       1  173469104  173573233    498      42  142253     0.063174      0.47481
339416       1  173576975  173640001    223      40  140254      -0.5851      0.72076
730159       1  173603661  173606773     10       5  130923     -0.20457      0.58105
27252        1  173683063  173756460    278      29  139461     -0.31295      0.62284
91687        1  173768188  173795325    107      26  136956     -0.37057      0.64452
55157        1  173792719  173828182    122      31  136791     -0.69617      0.75684
84614        1  173836220  173857096     97      30  145494     -0.81032      0.79112
462          1  173872438  173887516     58      20  144438     -0.95546      0.83033
149041       1  173899852  173963210    234      43  141809     -0.39283      0.65278
9910         1  174127552  174964945   3287      61  141555   -0.0040609      0.50162
9293         1  174416212  174419183      5       3  132103      0.21197      0.41606
27101        1  174967571  174981663     53      25  142756      0.41353      0.33961
63931        1  174981594  174993591     48      23  146096      0.99045      0.16098
63923        1  175035994  175117702    491      66  146411       1.6128     0.053398
9674         1  175125623  175163229    193      33  146694      0.44353      0.32869
7143         1  175291435  175713752   2453     234  144551     -0.35192      0.63755
64326        1  175913467  176177386   1122      62  145223       1.7728     0.038134
60676        1  176431307  176815237   1597      96  143923     -0.32839      0.62869
460          1  176825941  177135024   1492     144  142969      0.56827      0.28493
57795        1  177139058  177252058    419      84  142215       1.6693     0.047534
89866        1  177892325  177940188    288      56  148061        2.039     0.020726
9462         1  178061864  178449149   1433      73  144039       0.5932      0.27652
400797       1  178462534  178469769     39      17  146218     -0.55641      0.71104
84066        1  178481212  178493135     72      27  140818       1.2051      0.11409
55103        1  178693300  178891475    852      62  142673        2.336    0.0097447
9068         1  178818170  178841215     84      36  137538       1.5134     0.065092
9917         1  178993939  179046202    277      38  147982        2.558    0.0052638
64222        1  179049415  179067658     89      32  148233        1.686     0.045896
27           1  179067962  179199819    573      52  144031       2.8275    0.0023453
6646         1  179261849  179328315    401      41  148265       2.8446    0.0022236
126859       1  179333855  179524370   1547      41  145690       1.5329     0.062646
7827         1  179519174  179546086    165      32  149925        1.963     0.024824
163589       1  179559748  179660907    530      37  144235         1.52     0.064252
148753       1  179695912  179785833    521      78  147742       1.5667     0.058596
163590       1  179808602  179848867    166      35  145265      0.50415      0.30708
26092        1  179850177  179889712    191      37  147157      0.65073      0.25761
9857         1  179922908  180084515    753      53  144706      0.20732      0.41788
5768         1  180122968  180169930    372      43  147818       0.2779      0.39055
89884        1  180198433  180244688    327      76  147043      0.08841      0.46478
84320        1  180256852  180473022   1062      57  145604      0.42218      0.33645
9213         1  180600146  180859915   1383      43  137779      0.74183       0.2291
57710        1  180881313  180921245    227      71  144385      0.59017      0.27754
10228        1  180941664  180993074    192      48  144014       1.4235     0.077294
3140         1  181001561  181031574    165      46  149060      0.63685      0.26211
51278        1  181056638  181060479     24      16  142021      0.46949      0.31936
777          1  181451447  181776420   1651     146  145122       1.4884     0.068322
127665       1  182023205  182031847     32      12  138620     -0.16068      0.56383
2752         1  182350339  182362341     74      22  141652      0.79414      0.21356
127670       1  182366752  182370751     17       7  148047      0.89392      0.18568
353299       1  182418256  182530232    686      45  141014      0.94719      0.17177
6041         1  182542269  182559420     73      32  142617       1.0587      0.14487
6004         1  182567258  182574548     30      16  144183      -1.9575      0.97486
85397        1  182612536  182654502    196      38  145505     0.058203      0.47679
80896        1  182757584  182800019    208      41  145524       -0.119      0.54736
1660         1  182807439  182857617    255      39  145010      -1.0231      0.84688
81626        1  182868500  182923553    243      53  141075      -1.5593      0.94054
3915         1  182991572  183115227    740      31  145943       2.0752     0.018986
3918         1  183146952  183214762    427      54  145002   -0.0015478      0.50062
23057        1  183216872  183388634    859      69  145456      0.74337      0.22863
9887         1  183440506  183523828    262      59  142670       2.0676      0.01934
4688         1  183524197  183561056    178      54  146674        1.794      0.03641
10092        1  183594828  183606076     69       6  153401      0.22804      0.40981
23179        1  183604208  183898166   1451     121  147540      0.53052      0.29788
403314       1  183614910  183623448     64       7  147922      0.27276      0.39252
23127        1  183898488  184007904    685     106  144388       0.8339      0.20217
116461       1  184019811  184043846    181      12  139605     0.015652      0.49376
81563        1  184355150  184598655   1243      84  142776      0.34499      0.36505
80267        1  184659125  184725041    381      22  143554      0.19068      0.42439
116496       1  184759659  184944718    989      93  142880       1.2228      0.11069
6045         1  185013482  185072240    225      59  142223      -2.3227       0.9899
81627        1  185086717  185127230    154      31  147299      -1.6131      0.94664
54823        1  185125155  185261413    611      46  141117     -0.40539       0.6574
10625        1  185265020  185287461     79      28  142521     -0.78477      0.78371
83872        1  185702683  186160585   2405      70  132856      0.88105      0.18915
10216        1  186264405  186284188     68      25  138399      0.30827      0.37894
7175         1  186280284  186345883    298      48  143051      0.41855      0.33777
54953        1  186343890  186391003    179      51  144000      0.26905      0.39395
10896        1  186368704  186371087      9       6  149208       1.5922     0.055671
5132         1  186412198  186431240     69      25  143906      -1.0617      0.85581
5743         1  186640444  186650559     37      15  147624      -1.4876      0.93157
5321         1  186797032  186958613    853      99  146998      0.38899      0.34864
101929766    1  189234712  189305663    474      34  126536      -1.6523      0.95077
339479       1  190066292  190448534   1543      97  142856      0.68242      0.24749
64407        1  192126592  192155445     83      32  142448    -0.083258      0.53318
431704       1  192285122  192336915    224      46  146076     -0.30311       0.6191
5996         1  192543857  192549659     33      13  146231      0.50548      0.30661
6003         1  192604268  192629941    162      28  146563      0.50791      0.30576
5997         1  192777169  192781907     27      13  133125       1.1328      0.12864
51377        1  192980996  193030237    135      29  147190      -1.2703      0.89802
6738         1  193027552  193061407    126      39  144269      -2.3194      0.98981
51022        1  193065095  193076659     44      17  146851       -1.015      0.84495
79577        1  193090088  193224445    549      39  146368      -1.2218       0.8891
8707         1  193147360  193156743     33      12  144307     -0.96701      0.83323
343450       1  196194413  196578690   1552      63  141434      0.82362      0.20508
3075         1  196620008  196717134    540      51  143256       2.0337     0.020993
10878        1  196742925  196763703     55      23  134368     -0.44957      0.67349
3078         1  196787861  196801819     42      18  129536       0.5978      0.27499
10877        1  196856144  196888343    133      46  142746      0.34757      0.36408
3080         1  196911888  196928856     79      32  144982      0.66445       0.2532
81494        1  196945667  196979304    150      44  144282    -0.098406       0.5392
2165         1  197007377  197037568    110      23  146053     -0.37826      0.64738
259266       1  197052757  197116824    203      35  142458      0.16124      0.43595
360023       1  197122314  197170672    178      42  142048     -0.35599      0.63908
23418        1  197169592  197448085   1071     113  139751     -0.67867      0.75133
163486       1  197473378  197745623    906      62  139421     -0.05097      0.52033
388722       1  197870682  197876997     24      17  139314      -1.2924      0.90189
56956        1  197880635  197905106    101      35  145729      0.38938       0.3485
140609       1  198125108  198292050    866      56  144776     -0.56358      0.71348
127124       1  198491852  198511075     84      35  142987      0.25565      0.39911
5788         1  198607098  198727105    587      61  145090     -0.34864      0.63632
2494         1  199995730  200147052    924     113  148872       2.0131     0.022053
23528        1  200373575  200380186     18      13  135860      0.29999      0.38209
9928         1  200520125  200590862    412      47  144530       1.7166     0.043022
83479        1  200609435  200640126    153      40  142721      0.79608      0.21299
23271        1  200707686  200830332    482      58  146746     -0.16627      0.56603
2848         1  200841083  200843806     16       9  146449     -0.50639      0.69371
55765        1  200859627  200885364    140      45  146105     -0.11075      0.54409
23046        1  200938014  200993828    266      38  149046        2.107     0.017561
779          1  201008135  201082694    491     103  145977       0.6302      0.26428
647219       1  201082581  201085500     19      11  146411     -0.44043      0.67019
252839       1  201103400  201141710    229      54  149272      -1.3377      0.90951
91156        1  201158952  201198580    265      54  146059     -0.20229      0.58016
5317         1  201251580  201302621    360      40  145830      0.10612      0.45774
7139         1  201327636  201347836    142      31  148566     -0.23878      0.59436
3898         1  201349466  201369669    123      43  143006       0.2543      0.39963
7135         1  201372395  201391874     97      43  141108      0.83204      0.20269
23612        1  201434107  201439299     31      15  149266      0.56805        0.285
1465         1  201452158  201477387    168      39  147924       1.6126     0.053417
89796        1  201507243  201796602   1535     165  144718       1.0877      0.13837
55705        1  201797288  201853922    284      48  139158      0.71882      0.23612
149345       1  201856797  201862215     27      15  142031      0.67905      0.24855
25802        1  201865084  201916716    262      50  144189       1.2381      0.10783
10440        1  201923619  201940289     79      26  146156      0.66284      0.25372
6051         1  201950766  201975775    193      38  146836      0.16533      0.43434
1999         1  201978647  201986816     42      21  140103      -1.4896      0.93183
9283         1  202091029  202099134     64      23  147895      0.10365      0.45872
127829       1  202102032  202114871     65      32  139199     -0.32655        0.628
5778         1  202115641  202131716     93      46  149343     -0.99536      0.84022
59352        1  202162118  202289389    609      85  145953    -0.090933      0.53623
29089        1  202300285  202312094     45      24  143030      0.30259       0.3811
4660         1  202316830  202558197    806      67  143888      0.96277      0.16783
127833       1  202559224  202680551    560     101  146619       1.6452     0.049962
10765        1  202696032  202778549    362      45  146842       1.6288     0.051678
5877         1  202846910  202859385     51      18  145183      0.62818      0.26494
59349        1  202859730  202898766    156      30  143786      0.74909       0.2269
51094        1  202909460  202928700     99      29  146717       1.5831     0.056701
51706        1  202930501  202937404     19       6  148383       1.8371     0.033097
92703        1  202975520  202994476     70      26  143329       1.4554     0.072777
8497         1  202994649  203048364    288      47  147101     -0.15551      0.56179
4656         1  203051757  203056166     32      18  151495      0.19865      0.42127
134          1  203095833  203137033    218      58  147095      0.40848      0.34146
4608         1  203136439  203145969     50      20  145286    0.0059037      0.49764
1116         1  203147559  203156978     63      19  142726      0.16231      0.43553
1118         1  203184707  203199860     87      28  150247      0.77658       0.2187
7832         1  203273664  203279230     22      11  141333       1.2591      0.10399
2331         1  203309249  203321557     86      29  145063        1.578     0.057283
5549         1  203443883  203460980     97      27  141355      0.11564      0.45397
26254        1  203462271  203478577     92      22  148869      0.37962      0.35211
493          1  203594915  203713709    676     106  140311      0.85464      0.19637
54900        1  203733284  203746000     72      17  145183     -0.20347      0.58061
9877         1  203763665  203823756    317      32  145982     -0.31515      0.62368
100381270    1  203765651  203770090     16       7  148233     -0.53815      0.70476
6635         1  203829740  203840780     67      17  146263      0.56158       0.2872
9580         1  204041237  204097371    316      89  141963      0.39161      0.34767
55224        1  204099690  204122307    108      56  141029      -0.3759       0.6465
5972         1  204123444  204136465     67      21  148628       1.8389     0.032964
3814         1  204158969  204166619     37      11  153898      0.39001      0.34826
127845       1  204166788  204184220     84      33  143339        1.086      0.13873
22874        1  204187479  204330057    852      77  145280      -2.2537      0.98789
84919        1  204369281  204381945     64      33  137599     -0.25671       0.6013
5287         1  204391256  204464943    453      61  143512       3.0294    0.0012253
4194         1  204484507  204596631    604      47  146950       3.1673   0.00076932
10446        1  204585798  204655597    390      64  146536       1.5819      0.05684
23114        1  204796782  204992450   1200     123  145713       2.0846     0.018555
6900         1  205011340  205047673    226      45  146890        3.231   0.00061685
388730       1  205051757  205054588     20       6  148236       2.0131     0.022052
5929         1  205054770  205092150    184      37  148363        3.793   7.4423e-05
25778        1  205111131  205181727    284      34  145262       3.9996   3.1721e-05
9911         1  205196038  205242971    231      44  146315       3.9109    4.598e-05
81788        1  205270691  205291883    116      40  145566      0.35689      0.36059
55220        1  205304693  205327218    161      35  147728       0.8174      0.20685
93273        1  205350006  205392214    221      47  142024      -1.2528      0.89486
5129         1  205472684  205502421    213      65  143633      0.97609      0.16451
148808       1  205537112  205572546    202      46  146536       0.1695       0.4327
2005         1  205576571  205603971    121      37  141826       1.3939     0.081676
85414        1  205626479  205650630    122      46  147004     -0.40619       0.6577
64710        1  205681447  205720372    186      55  143645       1.8932     0.029164
8934         1  205736614  205745615     51      17  149307       2.3807    0.0086404
254428       1  205757721  205783887    111      35  148648       1.3678     0.085682
148811       1  205796650  205820276    103      43  143071       2.4435    0.0072722
115019       1  205881676  205913588    284      45  142431       1.6493     0.049543
729533       1  206137911  206155574      6       3  133759      0.77506      0.21915
553          1  206223283  206231982     73      14  142453      0.74526      0.22806
440712       1  206238372  206289236    219      52  134998       1.9795     0.023882
1510         1  206316459  206332604     64      22  134722        1.549     0.060688
9641         1  206642586  206670723    187      60  144820       2.6056    0.0045861
83593        1  206679866  206763116    401      65  144477       2.2104     0.013539
1939         1  206764474  206786904    118      32  150224      0.27455      0.39183
8444         1  206807881  206823729     52      24  141891     -0.71404       0.7624
9261         1  206857295  206908130    231      61  145793       1.0598      0.14462
3586         1  206940448  206946839     40      16  149182      0.34506      0.36502
29949        1  206971215  207016826    213      50  146737      -1.3328      0.90871
50604        1  207037699  207043068     22      13  147864      0.43661       0.3312
11009        1  207069630  207077984     48      20  135611       1.8298     0.033642
9214         1  207076130  207096378     79      28  142403        1.793     0.036488
5284         1  207101367  207120814     98      33  144882       1.8732      0.03052
83953        1  207130812  207144970     83      20  145148      0.79775      0.21251
79098        1  207191366  207209555    128      20  135347      -2.0516       0.9799
5208         1  207206761  207254868    239      46  131897      0.25881      0.39789
55432        1  207216694  207227325     53      21  130657    -0.036165      0.51442
725          1  207261210  207273838     73      25  136591     -0.68704      0.75397
722          1  207276583  207318817    197      50  145114      0.13625      0.44581
1604         1  207493817  207534811    169      35  141038      0.74721      0.22747
1380         1  207626645  207663740    197      49  142361      0.84902      0.19794
1378         1  207668473  207815610    555      60  142376       1.0031      0.15792
1379         1  207817458  207897536    562      45  142438     -0.39116      0.65216
4179         1  207924383  207969361    196      45  144149       1.7488      0.04016
947          1  208059383  208085742    148      39  144652       1.6674     0.047721
5362         1  208195087  208418665   1280     131  143837       1.6385     0.050656
642587       1  209601168  209606394     26      12  142463      0.89716      0.18482
57172        1  209756045  209787784    190      47  145927       -1.013      0.84447
3914         1  209787715  209826820    261      45  143652     -0.65834      0.74484
50486        1  209847670  209850235     13       6  151818       1.3853     0.082973
3290         1  209858525  209908795    197      45  146294       1.7379     0.041113
80342        1  209928393  209956168    140      28  145414       1.1535      0.12436
148304       1  209955162  209958890     14       9  147331      0.35385      0.36172
3664         1  209958468  209980520    116      23  144225     0.010814      0.49569
27042        1  210000312  210031410    174      29  149084     -0.32238      0.62642
255928       1  210110519  210338136   1005      59  145791       1.2418      0.10716
56256        1  210405195  210420752     71      32  137423      0.39761      0.34546
55733        1  210500596  210850138   2454     192  145452       1.0049      0.15748
3756         1  210851157  211308457   2427     171  146638     0.046136       0.4816
55758        1  211431708  211490227    276      39  149349       1.9728     0.024261
7188         1  211498849  211548903    211      54  147276       1.1088      0.13376
343035       1  211649364  211667259     92      34  147002       2.3907    0.0084087
7779         1  211747881  211753099     18       7  133362      0.19641      0.42214
4751         1  211831098  211849972     82      25  146788      0.40626      0.34228
9926         1  211916299  212049531    711      59  145879       2.5277    0.0057413
25896        1  212113241  212210002    463      37  150403       2.4715    0.0067265
51514        1  212207919  212278687    342      42  150300       2.9871     0.001408
5525         1  212457879  212535705    367      52  143663      0.58591      0.27897
55248        1  212537316  212589267    242      61  143120       1.1553      0.12398
29937        1  212605229  212620221     82      22  150134      0.41828      0.33787
467          1  212737676  212794619    322      59  147898     -0.17591      0.56982
149647       1  212796789  212800620     26      15  138763      0.81746      0.20683
55509        1  212859259  212874327     86      28  150393     -0.71077      0.76139
25936        1  212898995  212966139    406      31  149462     -0.79567      0.78689
128387       1  212964170  212990667    175      24  149983     0.071062      0.47167
149643       1  213002983  213021991    133      26  151066      0.16897      0.43291
28982        1  213030597  213073205    313      21  150284       1.0293      0.15166
79805        1  213122887  213165486    248      63  142976      0.45416      0.32486
90806        1  213165024  213190168     80      29  145713       1.1242      0.13046
26750        1  213223588  213447308    726      83  140650       1.3185     0.093676
5629         1  214160278  214215353    237      57  142531       6.7317   8.3823e-12
56950        1  214453565  214510977    318      43  146290      0.30671      0.37953
5784         1  214521140  214726024   1253     124  147932      0.88848      0.18714
1063         1  214775522  214838414    381      46  146002        1.309     0.095259
3776         1  215177885  215410936   1244      79  145504      0.84223      0.19983
51133        1  215739528  215795649    188      29  141847      0.92462      0.17758
7399         1  215795736  216597738   4274     274  144788       1.0077      0.15679
2104         1  216676088  217312097   3633     267  146945       1.3432     0.089606
55105        1  217603334  217805426    984     114  146162     -0.81797      0.79331
128153       1  217803684  218040992   1290      74  146622      -1.0836      0.86074
51018        1  218457629  218511825    239      35  134764       1.1525      0.12456
7042         1  218517676  218618461    502      99  139343       1.3887     0.082465
127018       1  219346192  219386707    153      43  143140      0.92702      0.17696
55532        1  220087106  220102993     71      22  142023       1.9386     0.026277
2058         1  220141440  220221000    468      31  147966       2.5222    0.0058303
10380        1  220230324  220264249    135      47  145798        2.919     0.001756
55699        1  220266455  220321883    233      51  147345       2.4799    0.0065701
25782        1  220321110  220446843    492      70  143837       1.1791      0.11918
4139         1  220700568  220838299    539      44  139299       1.2496      0.10572
79762        1  220862628  220872999     64      19  141504       2.9049     0.001837
54996        1  220920325  220958657    392      19  144825       1.0067      0.15705
64757        1  220959039  220988241    251      41  144479     -0.31339      0.62301
3142         1  221051743  221058901     32      13  147503       2.8865    0.0019479
11221        1  221874264  221917204    239      66  141288      0.45666      0.32396
79802        1  222695102  222722444    171      23  148809     -0.55016       0.7089
9015         1  222730490  222764438    149      31  147044      0.18509      0.42658
375056       1  222790444  222841851    229      39  144180       1.7126     0.043393
64853        1  222840855  222887602    168      52  138338      0.33236      0.36981
148362       1  222884906  222909029     75      34  140704        0.267      0.39474
400823       1  222909558  222927432     70      31  140931      0.91576       0.1799
84976        1  222987342  223179837    926      78  144173    -0.036084      0.51439
7100         1  223282248  223317624    194      32  145433     -0.33143      0.62984
55061        1  223393661  223538564    675      78  140740      -1.1498      0.87489
164127       1  223565715  223569312     16       5  147203     -0.96113      0.83176
388743       1  223714472  223854436    454      55  147981     -0.94682      0.82813
824          1  223888295  223964220    422      45  145085     -0.81381      0.79212
7159         1  223967095  224034674    301      41  140834      0.65323       0.2568
23219        1  224300789  224350249    319      32  139391     -0.63763      0.73814
8560         1  224369910  224381643     46      14  144502      -0.5208      0.69875
4931         1  224414536  224518891    433      66  143466      0.31129      0.37779
29097        1  224543513  224567654    119      26  139362      0.91559      0.17994
80232        1  224572345  224623001    187      38  142382      0.14097      0.44395
101928291    1  224620806  224648098    126      28  141274     -0.64526      0.74062
149111       1  224733563  224928769   1065      73  143859     -0.28412      0.61184
127602       1  225116356  225587496   2516      66  146204      0.75429      0.22534
3930         1  225588704  225617557    127      33  143426    -0.092978      0.53704
55740        1  225674034  225841845    656      44  145440       1.2273      0.10986
6726         1  225964515  225978668     63      21  145284       1.8947     0.029064
2052         1  225996797  226033764    220      71  149013       1.0311      0.15125
9725         1  226032733  226071420    195      37  146529     -0.59218      0.72313
10637        1  226073482  226077846     21       7  149811     -0.52864      0.70147
29920        1  226107077  226113040     24      13  140387        1.423     0.077371
7044         1  226123798  226130083     20      10  143258      0.88356      0.18847
163859       1  226169903  226188099     68      29  142324      0.28234      0.38884
3020         1  226249408  226260203     41      20  142195     0.061145      0.47562
64746        1  226331880  226375423    200      45  142386      0.13717      0.44545
83881        1  226410325  226415256     13       6  139528      -0.2639      0.60407
286826       1  226418350  226498789    267      44  142020     -0.10962      0.54365
142          1  226547892  226596801    246      40  144592      0.40665      0.34213
375057       1  226735501  226797415    352      64  143965      0.88546      0.18796
3707         1  226818891  226928028    494      94  140261       1.0141      0.15528
5664         1  227056885  227084304    199      40  144360     -0.44917      0.67334
56997        1  227083589  227175746    452      95  139700    -0.026415      0.51054
8476         1  227177066  227507193   2237      38  148729      0.47414       0.3177
339500       1  227750220  227865644    571      40  143553       2.8917    0.0019155
65094        1  227918390  227924284     46      24  141131       2.3496    0.0093978
116841       1  227921697  227969432    299      40  140183       2.9921    0.0013854
339501       1  228002418  228034671    213      50  142371       2.0009     0.022699
7483         1  228108665  228136676    157      34  146069      0.09391      0.46259
101060022    1  228155662  228159559     15       9  136287      0.21773      0.41382
89780        1  228193723  228249472    234      53  144865     -0.83284      0.79753
100506571    1  228261110  228265258     17      12  134373      -1.1851        0.882
375          1  228269361  228287413     69      28  141598     -0.19912      0.57891
79169        1  228287928  228294112     21      12  149291      0.70493      0.24043
128308       1  228293880  228298037     15      10  141279      0.66334      0.25356
2987         1  228326668  228337156     47      26  136721       1.2543      0.10486
57165        1  228336415  228348027     44      24  139357      0.67519      0.24978
200205       1  228352429  228370458     66      26  140289    -0.072587      0.52893
84033        1  228394740  228567077    960      72  143794       1.8609     0.031382
101927401    1  228548680  228555500     44      16  145143       1.3647     0.086176
81559        1  228580873  228595584     62      26  140336      0.70022      0.24189
51127        1  228594358  228605583     43      18  140124      0.75849      0.22408
8290         1  228612046  228614026     16       6  138879       1.0572       0.1452
92815        1  228644565  228646560     10       7  126998       1.0184      0.15425
128312       1  228644808  228646759     12       7  132011       0.6452       0.2594
149603       1  228673277  228698098    140      40  143288       0.6373      0.26196
100129094    1  228697560  228700699     20       8  139593      -0.5528       0.7098
58480        1  228779394  228882916    532      73  141890      0.80879      0.20932
5867         1  229405809  229442141    143      30  141660      0.77719      0.21852
10638        1  229439129  229441751      8       4  157214      0.70408      0.24069
126731       1  229456252  229479688     96      23  146511       0.6357      0.26249
58           1  229566492  229570858     16       6  146928       2.2777     0.011373
55746        1  229576544  229645088    359      34  142318       2.8253    0.0023621
23456        1  229651829  229695442    178      43  143465       3.4054   0.00033038
27097        1  229728358  229762794    143      30  146660       2.2518     0.012168
9816         1  229760981  229796446    138      33  144286       2.1114     0.017367
2590         1  230201956  230418375   1380     135  148706    -0.062408      0.52488
79605        1  230456892  230562674    672      95  147512     -0.90181      0.81642
22796        1  230777202  230830231    303      59  143873     -0.30031      0.61803
183          1  230837769  230851336    119      35  144294        0.545      0.29288
10753        1  230882089  230938249    423      60  147009     -0.58129      0.71948
84886        1  230972365  231006335    228      44  147743     -0.42138      0.66326
79573        1  231041487  231115618    405      42  149979      0.28289      0.38863
64801        1  231113823  231136979    113      23  149670       0.3248      0.37267
375061       1  231154204  231176995    171      43  149659    -0.053178      0.52121
440730       1  231297674  231357814    321      59  147519      0.47481      0.31746
149373       1  231319345  231324373     33      13  148689      -1.9529      0.97458
128061       1  231359009  231377933     75      25  145469       1.7491     0.040135
8443         1  231375919  231414219    159      28  147246    -0.028827       0.5115
149371       1  231467982  231474578     25       9  148524     -0.39597      0.65394
83932        1  231472682  231506797    150      25  145428     0.038638      0.48459
54583        1  231498997  231561790    389      20  148726      0.31499      0.37638
7257         1  231663399  231702770    138      46  139490     0.043788      0.48254
27185        1  231761561  232177518   2150     231  144716      0.35717      0.36048
57568        1  232533211  232766907   1465     153  144012      0.45585      0.32425
54627        1  232939638  232946592     27       9  144210     -0.74849      0.77292
84284        1  233085277  233115048    129      27  145050      -1.2336      0.89132
80003        1  233119355  233432459   1894     149  147050      0.15684      0.43768
84451        1  233462514  233521394    361      50  144544      0.68343      0.24717
3775         1  233748750  233808758    359      82  148600      0.76362      0.22255
148641       1  234039679  234460762   2667     213  146720      0.75042       0.2265
388753       1  234507932  234520295     72      14  147837     -0.35251      0.63777
6894         1  234526559  234615863    571      76  150468      0.45563      0.32433
359948       1  234739515  234746271     26      12  138848     -0.78023      0.78237
9804         1  235272156  235293256     81      16  147942      0.55693      0.28879
23029        1  235293998  235325571    130      32  143413      0.74903      0.22692
51742        1  235329710  235492532    682      43  144506       1.6235     0.052236
9453         1  235490753  235508347     86      23  144678       1.5943     0.055439
6905         1  235529728  235612780    370      46  147600       3.8559   5.7642e-05
148789       1  235610005  235668781    261      37  145653       3.5604   0.00018511
2786         1  235710485  235815054    593      80  146825       1.4222     0.077485
